Month,Day,SeriesID,RunType,RunFolder,p1064LattDepths,s915LattDepths,LatticeHoldTimes,KDCal915,Comments
3,18,B,Expansion,21 -  1064 10Er 915 0.5Er vary lattice hold try odt snap off repeats,10,0.5,0;50;100;200;500;750;1000;2000;5000;7500;10000;15000;20000,0.3972,
3,18,C,Expansion,26 -  1064 10Er 915 0.02Er vary lattice hold try odt snap off repeats img vva 780,10,0.02,0;50;100;200;500;750;1000;2000;5000;7500;10000;15000;20000,0.3972,
3,18,C,Expansion,25 -  1064 10Er 915 0.1Er vary lattice hold try odt snap off repeats img vva 780,10,0.1,0;50;100;200;500;750;1000;2000;5000;7500;10000;15000;20000,0.3972,
3,18,C,Expansion,24 -  1064 10Er 915 0.5Er vary lattice hold try odt snap off repeats img vva 780,10,0.5,0;50;100;200;500;750;1000;2000;5000;7500;10000;15000;20000,0.3972,
3,19,A,Disorder,10 - 1064 8.5Er Vary 915 depth in situ lattice hold 10000ms,8.5,0.02; 0.05;  0.1; 0.2; 0.5; 1; 2; 4,10000,0.4218,
3,19,B,Expansion,12 - 1064 8.5Er 915 0.05Er vary lattice hold 5 repeats set 1,8.5,0.05,0; 50; 100; 200; 500; 750; 1000; 1500; 2000; 5000; 7500; 10000; 15000; 20000,0.4218,
3,19,B,Expansion,13 - 1064 8.5Er 915 0.05Er vary lattice hold 5 repeats set 2,8.5,0.05,0; 50; 100; 200; 500; 750; 1000; 1500; 2000; 5000; 7500; 10000; 15000; 20000,0.4218,
3,19,B,Expansion,14 - 1064 8.5Er 915 0.05Er vary lattice hold 5 repeats set 3,8.5,0.05,0; 50; 100; 200; 500; 750; 1000; 1500; 2000; 5000; 7500; 10000; 15000; 20000,0.4218,
3,19,B,Expansion,22 - 1064 8.5Er 915 0.05Er vary lattice hold 5 repeats set 1 lattice ramp 250ms,8.5,0.05,0; 50; 100; 200; 500; 750; 1000; 1500; 2000; 5000; 7500; 10000; 15000; 20000,0.4218,
3,19,B,Expansion,23 - 1064 8.5Er 915 0.05Er vary lattice hold lattice ramp 250ms 5 repeats set 2,8.5,0.05,0; 50; 100; 200; 500; 750; 1000; 1500; 2000; 5000; 7500; 10000; 15000; 20000,0.4218,
3,19,B,Expansion,24 - 1064 8.5Er 915 0.05Er vary lattice hold lattice ramp 250ms 5 repeats set 3,8.5,0.05,0; 50; 100; 200; 500; 750; 1000; 1500; 2000; 5000; 7500; 10000; 15000; 20000,0.4218,
3,19,B,Expansion,25 - 1064 10Er 915 0.1Er vary lattice hold 5 repeats set 1 ramp 250ms,8.5,0.1,0; 50; 100; 200; 500; 750; 1000; 1500; 2000; 5000; 7500; 10000; 15000; 20000,0.4218,
3,19,B,Expansion,26 - 1064 10Er 915 0.1Er vary lattice hold 5 repeats set 2 ramp 250ms,8.5,0.1,0; 50; 100; 200; 500; 750; 1000; 1500; 2000; 5000; 7500; 10000; 15000; 20000,0.4218,
3,19,B,Expansion,27 - 1064 10Er 915 0.1Er vary lattice hold 5 repeats set 3 ramp 250ms,8.5,0.1,0; 50; 100; 200; 500; 750; 1000; 1500; 2000; 5000; 7500; 10000; 15000; 20000,0.4218,
3,19,B,Expansion,16 - 1064 8.5Er 915 0.2Er vary lattice hold 5 repeats set 1,8.5,0.2,0; 50; 100; 200; 500; 750; 1000; 1500; 2000; 5000; 7500; 10000; 15000; 20000,0.4218,
3,19,B,Expansion,17 - 1064 8.5Er 915 0.2Er vary lattice hold 5 repeats set 2,8.5,0.2,0; 50; 100; 200; 500; 750; 1000; 1500; 2000; 5000; 7500; 10000; 15000; 20000,0.4218,
3,19,B,Expansion,18 - 1064 8.5Er 915 0.2Er vary lattice hold 5 repeats set 3,8.5,0.2,0; 50; 100; 200; 500; 750; 1000; 1500; 2000; 5000; 7500; 10000; 15000; 20000,0.4218,
3,19,B,Expansion,19 - 1064 8.5Er 915 1Er vary lattice hold 5 repeats set 1,8.5,1,0; 50; 100; 200; 500; 750; 1000; 1500; 2000; 5000; 7500; 10000; 15000; 20000,0.4218,
3,19,B,Expansion,20 - 1064 8.5Er 915 1Er vary lattice hold 5 repeats set 2,8.5,1,0; 50; 100; 200; 500; 750; 1000; 1500; 2000; 5000; 7500; 10000; 15000; 20000,0.4218,
3,19,B,Expansion,21 - 1064 8.5Er 915 1Er vary lattice hold 5 repeats set 3,8.5,1,0; 50; 100; 200; 500; 750; 1000; 1500; 2000; 5000; 7500; 10000; 15000; 20000,0.4218,
